Zaman (s),Toplam Kuyruk Uzunlugu,Toplam Islenen Request,S1_Kuyruk,S1_CPU,S2_Kuyruk,S2_CPU,S3_Kuyruk,S3_CPU,S4_Kuyruk,S4_CPU,Ortalama_CPU_Kullanimi,Ortalama_Bekleme_Suresi
16.009999999999703,621,1344,448,84.35559464492775,161,83.12830069634245,12,84.82411691113039,0,84.960199712513,84.3170529912284,1.8531547619047235
17.00999999999986,667,1439,478,83.89576238738154,170,84.69415275940523,14,82.09753765929531,5,84.338372123213,83.75645623232377,1.9063099374565295
18.000000000000014,706,1522,493,83.69504785602754,182,84.08585769931128,27,82.513822689938,4,81.21946220578958,82.8785476127666,2.0425295663600207
19.00000000000017,756,1608,532,82.38251103815753,193,80.83806986190314,31,83.810306808017,0,80.45895900926047,81.87246167933453,2.0868718905472385
20.000000000000327,774,1712,552,81.10780162466556,194,83.10589259359645,28,84.55922783087749,0,81.99543091786703,82.69208824175163,2.2263084112149416
21.000000000000483,829,1786,589,84.73734718685078,218,84.16402505605703,22,83.98214244452538,0,84.89089720186175,84.44360297232373,2.2974188129899207
22.00000000000064,881,1872,621,83.76663209129914,233,83.79810092045768,24,84.87107978232216,3,84.01708638164112,84.11322479393003,2.3883814102564234
23.000000000000796,914,1988,659,83.34629804674412,243,83.95232161812831,12,83.10404194567086,0,79.57647148531308,82.49478327396409,2.492620724346109
24.000000000000952,986,2070,701,83.20635893822283,256,82.31312283155712,23,84.00484962645659,6,81.16238950220784,82.6716802246111,2.5460338164251657
25.00000000000111,1036,2152,735,84.07709417557811,274,84.98681509318816,24,84.8561445187168,3,83.25728915809017,84.29433573639331,2.5955157992565625
26.000000000001265,1071,2261,769,84.11267985398467,284,84.83047126373012,18,82.62795985010905,0,78.50139039714827,82.51812534124304,2.6859575409111764
27.00000000000142,1131,2337,816,81.553681028468,295,84.1640592781903,17,83.98181746435573,3,84.67764289569558,83.5943001666774,2.7462815575525075
28.000000000001577,1155,2445,832,84.32875645282547,300,84.60578683390904,22,84.51134882766303,1,84.0888638664447,84.38368899521056,2.836163599182112
29.000000000001734,1184,2538,856,84.19578121571065,306,84.51953293197776,20,84.87301124861483,2,84.21856539825495,84.45172269863954,2.9020527974784542
30.00000000000189,1212,2649,872,83.71940968969834,319,84.78642162766606,20,80.64280072633728,1,84.7771514213199,83.4814458662554,2.9797621744055784
31.000000000002046,1239,2740,896,84.51184725702504,317,84.5661082134219,25,83.83590987488303,1,82.74882111395068,83.91567161482016,3.0584598540147594
32.0000000000022,1276,2826,914,83.26426323122537,328,84.7521173515984,34,84.38118603654004,0,82.82729012999685,83.80621418734017,3.141666666666844
33.000000000002004,1313,2921,944,84.16602012734567,339,80.58607018405347,30,84.36006133381382,0,81.35627308463812,82.61710618246278,3.2600890106130005
34.000000000001805,1366,3018,976,81.53574788822418,353,82.43014288109342,36,82.03695101879316,1,84.33025295030679,82.58327368460439,3.3319416832341355
35.000000000001606,1406,3113,993,84.83073576426374,371,80.53945003886788,39,84.2686454382497,3,84.70025784641015,83.58477227194787,3.456357211693115
36.00000000000141,1458,3205,1022,82.89095770527098,395,84.93181712419937,39,81.50192680693186,2,83.43352217461285,83.18955595275376,3.541344773791167
37.00000000000121,1526,3281,1066,82.95944505359307,413,81.66488756547851,47,84.85310005013628,0,82.63481878680503,83.02806286400322,3.596107893934993
38.00000000000101,1551,3375,1078,83.28649371465387,429,84.37486748577125,44,81.9185748606477,0,82.2734932740933,82.96335733379152,3.707176296296513
39.00000000000081,1610,3464,1116,84.00499089835442,448,81.3426962127354,41,84.23360479761993,5,84.56049493922573,83.53544671198387,3.776902424942478
40.00000000000061,1637,3557,1146,84.62989952140293,448,83.64180040484874,42,84.62588853645299,1,80.4016130341296,83.32480037420856,3.8661428169808105
41.00000000000041,1697,3648,1196,81.07846759174325,456,83.70502195871566,41,83.34789292850385,4,84.15286114190762,83.07106090521759,3.992187500000202
42.00000000000021,1694,3753,1203,84.7532141670406,457,84.44136072550606,34,83.85328131146913,0,82.31450022597285,83.84058910749715,4.078196109779037
43.000000000000014,1729,3853,1225,84.38834202071278,462,83.8861458214563,38,79.19399065782585,4,83.303796743073,82.69306881076699,4.1965844796264475
