Zaman (s),Toplam Kuyruk Uzunlugu,Toplam Islenen Request,S1_Kuyruk,S1_CPU,S2_Kuyruk,S2_CPU,S3_Kuyruk,S3_CPU,S4_Kuyruk,S4_CPU,Ortalama_CPU_Kullanimi,Ortalama_Bekleme_Suresi
33.000000000002004,1307,2983,619,83.31544873030094,360,83.43654984123579,227,84.67184782813467,101,83.93910665511929,83.84073826369767,4.335940328528641
34.000000000001805,1355,3085,637,84.93068801883601,370,84.53111684816996,240,84.37500943984544,108,79.12838735039415,83.24130041431138,4.4933873581851
35.000000000001606,1412,3168,664,84.99688000849966,389,82.11665498114455,248,82.94269609955904,111,84.67422644877873,83.6826143844955,4.560280934343777
36.00000000000141,1445,3269,680,82.8724380063955,396,82.48166743010556,255,84.88631687321515,114,84.498785225333,83.6848018837623,4.719375955950184
37.00000000000121,1501,3361,704,83.83277146216602,410,82.81880825713044,265,83.96286924682451,122,84.96964028992187,83.89602231401071,4.848491520381195
38.00000000000101,1551,3454,728,84.31573126005978,423,83.41077184413115,274,84.58968191525845,126,83.82149362237531,84.03441966045617,4.9702374059065475
39.00000000000081,1577,3550,739,82.60986966750868,431,82.66353917624046,281,84.70107927447224,126,84.73301990230428,83.67687700513142,5.07220000000034
40.00000000000061,1628,3631,763,83.22559784743343,450,84.40925197501765,288,84.94390393696705,127,84.3209880328958,84.22493544807848,5.153004681906142
41.00000000000041,1662,3732,780,83.654637689433,456,84.38533190153343,293,84.15012698821079,133,81.91199035885916,83.5255217345091,5.310214362272556
42.00000000000021,1704,3822,798,84.19528356877498,470,83.52017383268826,303,84.05171092207519,133,81.96861768592258,83.43394650236525,5.398390894819766
43.000000000000014,1748,3925,823,84.81047638344067,480,81.36951384054363,308,83.08841553712915,137,77.3675606088693,81.65899159249568,5.510038216560787
44.00999999999981,1786,4017,834,81.31205504091686,490,80.62590267611202,317,84.60414362478608,145,82.71120495246531,82.31332657357007,5.596079163555151
45.009999999999614,1820,4110,850,84.90023958529231,502,82.7093686157053,321,83.17191022549888,147,84.43291511170496,83.80360838455036,5.763720194647437
46.009999999999415,1851,4214,864,84.96898115666342,510,82.95321043902928,329,83.77096105988821,148,83.84275668338354,83.8839773347411,5.907529663028209
47.009999999999216,1879,4311,878,84.73011500831518,516,80.1724935292016,333,84.29985534887697,152,83.24916007896883,83.11290599134065,6.057290651821102
48.00999999999902,1903,4408,890,84.46347386144676,521,83.78354024614899,334,83.79391137522424,158,84.44220306708752,84.12078213747688,6.174210526315937
49.00999999999882,1938,4513,905,82.64218475844015,531,83.09807421131895,343,83.78296830391075,159,84.5856322971208,83.52721489269766,6.313837801905717
50.00999999999862,1965,4605,920,83.52719490777173,533,84.80264434919557,347,81.4016822395753,165,82.1670973006902,82.9746546993082,6.446636264929501
51.00999999999842,2006,4697,933,84.11793082570438,551,82.39134066885455,355,83.31055468055834,167,84.03121890599593,83.46276127027829,6.561060251224226
52.00999999999822,2061,4780,961,81.55274452903753,565,84.4547094443895,367,81.18000921198838,168,84.38236380567025,82.8924567477714,6.659121338912146
53.00999999999802,2106,4885,983,83.06104357075951,578,84.71180724867986,370,83.89121795648784,175,84.4176885185082,84.02043932360885,6.758960081883293
54.009999999997824,2157,4979,1006,84.24894170000388,590,84.27062495803962,383,82.53173662586101,178,84.91665739630658,83.99199017005277,6.840469973890288
55.009999999997625,2187,5073,1020,84.54462577510724,597,83.34254969070774,389,83.42484143588342,181,84.98877181043893,84.07519717803433,7.005136999802786
56.009999999997426,2259,5162,1050,84.29825691206385,617,83.65542669324178,404,81.73936680884869,188,82.88587734335076,83.14473193937627,7.1024157303369515
57.00999999999723,2316,5260,1072,83.90621831615243,636,83.12108288483311,413,82.40439226912255,195,84.74609225834573,83.54444643211346,7.2012528517108665
58.00999999999703,2340,5356,1088,83.35036344745424,638,82.19568778945636,415,83.24505826574611,199,84.90193769461224,83.42326179931723,7.359578043315703
59.00999999999683,2371,5457,1099,84.89425606807134,647,84.65913833652446,423,83.01521029797559,202,82.19766530573126,83.69156750207566,7.486754627084234
60.00999999999663,2406,5556,1118,81.25873251231293,659,81.39730194995103,429,82.97200100054732,200,84.95691176429041,82.64623680677542,7.61133369330425
