time_seconds,total_queue_length,total_processed_requests,server_1_queue,server_1_cpu,server_2_queue,server_2_cpu,server_3_queue,server_3_cpu,server_4_queue,server_4_cpu,average_cpu_usage,average_wait_time
0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1.0000000000000007,59,7,13,99.84656037032698,10,99.89193699308443,10,99.18384909301521,26,90.93167769534398,97.46350603794265,0.0
2.0000000000000013,120,25,31,92.44764504804431,24,91.21327062940288,30,96.97890562396829,35,91.69954960808865,93.08484272737603,0.0
3.00999999999998,188,47,65,89.45643475749753,40,95.82502812244866,39,95.11638392577947,44,95.28856607679904,93.92160322063117,0.049574468085106425
4.009999999999959,247,79,81,88.09864758211886,47,98.14494144000287,61,99.68110904787547,58,99.7872063264778,96.42797609911875,0.17645569620253118
5.009999999999938,324,100,113,95.1302799600156,66,99.46116468648616,78,98.57843935929351,67,94.66498430543041,96.95871707780643,0.40109999999999685
6.009999999999916,397,128,146,98.75201154206778,75,98.69968982291128,95,98.18973323310463,81,92.12403101166626,96.9413664024375,0.5142968749999955
7.009999999999895,466,150,150,99.86713901546635,125,94.44179130372054,100,99.6200126132032,91,98.88103196377256,98.20249372404066,0.7379333333333252
8.009999999999874,544,174,184,92.31499746746188,138,94.01595399683308,101,93.07312360927975,121,97.15773742980532,94.140453125845,0.9217241379310227
9.009999999999852,613,200,194,99.17938865932989,177,87.20623968178691,109,96.87321257056354,133,92.9423773885528,94.05030457505828,1.2127499999999822
10.009999999999831,680,222,211,96.72476150762212,190,86.23768747743935,132,94.83921640893294,147,99.52073898237865,94.33060109409327,1.3169369369369168
11.00999999999981,752,247,212,99.80428044212765,201,97.75670842448639,186,96.37549932657618,153,88.82059018030394,95.68926959337354,1.4889473684210286
12.009999999999788,824,265,232,92.9001514778933,223,97.36661317081385,211,87.95921801710585,158,98.11911609342471,94.08627468980943,1.5777735849056342
13.009999999999767,890,299,274,93.73138244307094,231,95.33838341506016,216,93.226897332843,169,98.16890600905077,95.11639230000623,1.7127424749163587
14.009999999999746,967,318,298,88.23221020682428,264,95.93336888886734,228,94.11306641433521,177,99.27194819915739,94.38764842729606,1.7766981132075161
15.009999999999724,1034,344,315,94.36056444517267,279,97.7428213275607,241,94.41410494416718,199,96.61356071020188,95.7827628567756,2.1197093023255427
16.009999999999703,1099,369,338,97.46227433410657,290,99.64130841341006,273,95.53871850129508,198,99.69152748060115,98.08345718235321,2.1585365853658134
17.00999999999986,1175,392,365,99.41802045125944,301,98.98363613101829,284,95.69217174037307,225,98.20746299193168,98.07532282864562,2.2955612244897527
18.000000000000014,1241,419,400,98.68963653500937,311,97.13317923695064,297,98.4602631409991,233,96.00593750377399,97.57225410418327,2.674677804295894
19.00000000000017,1309,446,423,97.86691944227702,335,99.50229156041236,304,96.46118023014454,247,98.80155339716521,98.15798615749978,2.875448430493224
20.000000000000327,1376,473,451,93.5246740104424,350,98.60442514462471,314,96.80825968423373,261,98.02684692014682,96.74105143986192,3.03959830866803
21.000000000000483,1455,496,469,90.67178762086303,371,91.02022928146059,353,94.56495005085057,262,97.47840852486578,93.43384386950999,3.0611088709676997
22.00000000000064,1520,520,476,99.08169830383088,389,96.00840788259565,372,94.13922358382976,283,97.01414373705018,96.56086837682662,3.159230769230733
23.000000000000796,1594,545,489,98.1914571494459,428,91.3319084475322,393,99.58615779121175,284,98.39713051195181,96.87666347503541,3.4874678899082356
24.000000000000952,1671,565,500,96.09537417335162,471,98.78795557144709,395,98.05499476973158,305,98.30674401951569,97.81126713351149,3.6695221238937954
25.00000000000111,1740,587,536,97.67748420876399,473,99.94187345459292,409,98.83797384652995,322,97.0809257737809,98.38456432091694,3.9757069846678115
26.000000000001265,1815,611,565,97.90589747247864,494,96.19349413288971,424,95.80198417649252,332,98.17007562017055,97.01786285050785,4.253960720130961
27.00000000000142,1879,645,572,95.21877484906334,518,96.41265057686049,437,94.22588009415351,352,88.61908872940587,93.6190985623708,4.4356279069767925
28.000000000001577,1952,665,593,91.57157771593768,549,94.32238546059342,451,98.72630921354497,359,98.14555384559365,95.69145655891742,4.634421052631645
29.000000000001734,2013,696,601,94.25595623156612,574,99.61134393357783,461,99.89448830709136,377,98.68775552737843,98.11238599990344,4.798117816092041
30.00000000000189,2078,721,624,96.66941168253857,587,98.9345106409929,468,98.66166052933829,399,98.58718638160941,98.2131923086198,4.894424410541016
31.000000000002046,2162,743,661,99.08937967301307,607,97.09821921706666,489,89.57924443666738,405,92.99504570457992,94.69047225783176,4.886177658142772
32.0000000000022,2226,771,680,99.12129367586196,631,88.33133269242879,502,92.34275419878368,413,97.06834521357247,94.21593144516173,5.176744487678477
33.000000000002004,2299,792,713,98.45905883564826,638,93.26787169869264,515,97.74401267383526,433,99.3726348098858,97.2108945045155,5.278686868687021
34.000000000001805,2374,819,722,98.39847325047526,678,89.03864001278171,530,97.24856680181034,444,99.76149346404674,96.1117933822785,5.338534798534965
35.000000000001606,2444,845,732,87.99817721006781,706,95.68294024374107,548,97.45452451985092,458,92.72594355098923,93.46539638116226,5.5100236686392385
36.00000000000141,2519,866,782,96.15201575883518,722,92.03631306351994,553,97.02278418935994,462,97.57642880646404,95.69688545454477,5.713672055427453
37.00000000000121,2591,889,795,92.3255658007796,737,91.91828799126648,577,98.1215651792537,482,92.92732747154183,93.8231866107104,5.835624296963092
38.00000000000101,2660,914,816,84.11633176258695,747,96.31545502972688,586,86.62567111403135,511,98.60563960603459,91.41577437809494,6.01371991247287
