time_seconds,total_queue_length,total_processed_requests,server_1_queue,server_1_cpu,server_2_queue,server_2_cpu,server_3_queue,server_3_cpu,server_4_queue,server_4_cpu,average_cpu_usage,average_wait_time
0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1.0000000000000007,9,5,4,89.80435872450518,2,99.51116616681024,2,97.35557113817877,1,88.13600963587307,93.70177641634181,0.0
2.0000000000000013,64,24,36,84.90686113123859,13,96.99965600569853,10,96.28333000163593,5,88.452581761804,91.66060722509425,0.013750000000000012
3.00999999999998,110,48,57,93.9810571713526,30,97.04041692685064,15,93.68514436532377,8,91.73096164090569,94.10939502610817,0.08416666666666667
4.009999999999959,171,66,92,99.10276945401459,41,94.95050673581119,26,94.24579860301759,12,94.50455012890059,95.70090623043599,0.23803030303030165
5.009999999999938,227,91,120,99.13734077012127,55,84.12157426230837,37,98.47566397651386,15,98.5980802571537,95.0831648165243,0.47846153846153316
6.009999999999916,293,108,151,81.72684518986448,72,89.75252946626561,50,99.1680781151259,20,93.33509712260476,90.9956374734652,0.6696296296296208
7.009999999999895,344,127,178,94.55139708165947,84,93.98458713753334,59,97.52222373357786,23,99.39955241247634,96.36444009131175,0.7368503937007765
8.009999999999874,396,158,204,99.28671012733126,98,92.51272695466454,69,87.66612867800562,25,98.98838375811779,94.6134873795298,0.950126582278465
9.009999999999852,463,175,238,89.46760637335106,115,96.5075774277773,80,94.69774219874861,30,92.29602040389757,93.24223660094364,1.0820571428571237
10.009999999999831,519,196,263,98.76721366046527,129,96.15157184952834,91,99.70785756130492,36,91.47035143809748,96.52424862734901,1.2908163265305885
11.00999999999981,583,214,293,95.74812957970754,147,96.4757486869209,102,94.89521839008113,41,99.75774970747099,96.71921159104514,1.4865420560747382
12.009999999999788,636,234,321,95.46425668444579,160,95.34948187673615,111,88.50410803595227,44,98.9324079381276,94.56256363381544,1.7810256410256065
13.009999999999767,687,255,343,93.49301534628387,177,92.86058855213189,119,91.0553102237748,48,82.3372468390068,89.93654024029934,2.1419999999999573
14.009999999999746,739,269,364,98.59435605650826,193,94.59809519060653,130,98.13605132841599,52,98.01808139506505,97.33664599264895,2.404089219330807
15.009999999999724,799,293,392,98.73153939789503,211,99.52232072164293,142,88.6914993510131,54,96.71578539222743,95.91528621569462,2.511638225255922
16.009999999999703,853,313,420,97.1434015700292,226,88.02557069994826,152,97.2547343264564,55,95.06972410774911,94.37335767604574,2.658338658146911
17.00999999999986,919,333,454,98.1710380099685,241,93.81355944177207,162,95.84911802437857,62,94.6129626847037,95.61166954020571,2.9476276276275675
18.000000000000014,987,354,487,98.15665381327914,258,98.45606475762361,175,93.48285399585302,67,99.1220990222151,97.30441789724271,3.1407627118643435
19.00000000000017,1054,377,521,87.69171937964106,273,99.02992544269374,189,91.97225775719761,71,97.45935618436057,94.03831469097324,3.375437665782431
20.000000000000327,1107,396,545,98.8549176513437,287,96.71955052789373,201,95.11733705216113,74,96.05834665505034,96.68753797161223,3.593484848484791
21.000000000000483,1165,420,572,97.1167501255288,304,97.95221600522505,210,93.50591575183057,79,98.81986662738294,96.84868712749184,3.7439047619047128
22.00000000000064,1231,439,606,97.51542481136723,321,95.44342528621091,224,95.17342832479187,80,95.48782839522336,95.90502670439834,3.937334851936181
23.000000000000796,1301,458,640,98.87044019924177,338,92.38362400176344,236,99.8596905548806,87,92.33393493800259,95.8619224234721,4.132598253275084
24.000000000000952,1354,481,668,91.42840338160748,349,95.67287325307272,244,99.7086130889385,93,92.19224973201203,94.75053486390769,4.477837837837837
25.00000000000111,1418,498,699,94.93336965907115,366,98.86422410179392,256,97.1723714140831,97,99.49895316471532,97.61722958491588,4.741265060240982
26.000000000001265,1469,520,727,98.96792933025763,376,97.76274775604566,265,88.90761233146269,101,91.75997417994253,94.34956589942712,5.022807692307737
27.00000000000142,1520,542,749,90.09786657916794,388,95.67066643257617,278,92.5820376091086,105,99.16567036294997,94.37906024595067,5.172822878228848
28.000000000001577,1583,560,778,95.54693108850296,408,86.7492307821945,287,91.16857304273603,110,91.97703511110394,91.36044250613436,5.365535714285802
29.000000000001734,1632,593,806,94.54561383456056,421,99.49936445359322,294,93.25273706925617,111,98.36458152308757,96.41557422012437,5.664401349072638
30.00000000000189,1696,611,833,96.6023477526548,441,95.45944471555543,306,87.63364382835636,116,91.49464074997863,92.7975192616363,5.8584779050738
31.000000000002046,1745,637,859,96.87247969126216,454,82.77846493332002,314,98.8445927517617,118,98.55529640328612,94.2627084449075,6.070800627943669
32.0000000000022,1796,656,883,99.33149199192543,464,95.03991464073945,323,97.01861471597465,126,98.0693767701493,97.36484952969721,6.330457317073385
33.000000000002004,1868,671,917,96.08250768356835,483,93.78804554204498,337,89.56053456246099,131,98.44468911693085,94.4689442262513,6.584843517138845
34.000000000001805,1912,696,935,95.78918757349635,493,95.99350556283032,349,98.7151402946882,135,91.62824782490196,95.5315203139792,6.831479885057749
35.000000000001606,1982,718,969,83.14938996643417,513,91.21763005639913,361,92.9462345743883,139,96.46239146187793,90.94391151477488,6.989596100278854
36.00000000000141,2038,735,996,99.50008106641256,526,98.63249847472045,371,91.85332990380658,145,92.03393774188416,95.50496179670594,7.256326530612571
37.00000000000121,2098,757,1031,88.70696330363845,539,96.53352261230529,378,97.73863916956235,150,91.44921591971026,93.60708525130408,7.389088507265861
38.00000000000101,2146,778,1056,98.56970414922627,550,92.11265246444535,389,94.05364454567271,151,99.84061583940307,96.14415424968685,7.692339331619896
